time,m_ballast_pumped,m_pitch,m_pressure,density
2024-08-05T19:23:08Z,NaN,NaN,-0.0200034,NaN
2024-08-05T19:23:20Z,NaN,NaN,NaN,NaN
2024-08-05T19:23:24Z,NaN,NaN,NaN,NaN
2024-08-05T19:23:28Z,NaN,NaN,NaN,NaN
2024-08-05T19:23:38Z,NaN,NaN,NaN,NaN
2024-08-05T19:23:42Z,NaN,NaN,NaN,NaN
2024-08-05T19:23:46Z,NaN,NaN,NaN,NaN
2024-08-05T19:23:54Z,NaN,NaN,0.0171044,NaN
2024-08-05T19:23:58Z,NaN,NaN,NaN,NaN
2024-08-05T19:24:02Z,NaN,NaN,NaN,NaN
2024-08-05T19:24:06Z,NaN,NaN,NaN,NaN
2024-08-05T19:24:10Z,NaN,NaN,NaN,NaN
2024-08-05T19:24:18Z,NaN,NaN,NaN,NaN
2024-08-05T19:24:22Z,NaN,NaN,NaN,NaN
2024-08-05T19:24:26Z,NaN,NaN,NaN,NaN
2024-08-05T19:24:30Z,NaN,NaN,NaN,NaN
2024-08-05T19:24:34Z,NaN,NaN,NaN,NaN
2024-08-05T19:24:38Z,-252.778,NaN,NaN,NaN
2024-08-05T19:24:42Z,NaN,NaN,0.508782,NaN
2024-08-05T19:24:54Z,NaN,NaN,NaN,NaN
2024-08-05T19:24:58Z,NaN,NaN,NaN,NaN
2024-08-05T19:25:02Z,NaN,NaN,NaN,NaN
2024-08-05T19:25:22Z,NaN,NaN,NaN,NaN
2024-08-05T19:25:26Z,NaN,NaN,NaN,NaN
2024-08-05T19:25:30Z,NaN,NaN,1.23702,NaN
2024-08-05T19:25:38Z,-253.272,NaN,NaN,NaN
2024-08-05T19:25:42Z,NaN,NaN,NaN,NaN
2024-08-05T19:26:06Z,NaN,NaN,NaN,NaN
2024-08-05T19:26:14Z,NaN,NaN,NaN,NaN
2024-08-05T19:26:18Z,NaN,NaN,1.84234,NaN
2024-08-05T19:26:26Z,NaN,NaN,NaN,NaN
2024-08-05T19:26:30Z,NaN,NaN,NaN,NaN
2024-08-05T19:26:38Z,-254.261,NaN,NaN,NaN
2024-08-05T19:26:46Z,NaN,NaN,NaN,NaN
2024-08-05T19:27:02Z,NaN,NaN,NaN,NaN
2024-08-05T19:27:06Z,NaN,NaN,2.48013,NaN
2024-08-05T19:27:18Z,NaN,NaN,NaN,NaN
2024-08-05T19:27:26Z,NaN,NaN,NaN,NaN
2024-08-05T19:27:38Z,255.834,NaN,NaN,NaN
2024-08-05T19:27:46Z,NaN,NaN,NaN,NaN
2024-08-05T19:27:54Z,NaN,NaN,1.67304,NaN
2024-08-05T19:28:06Z,NaN,NaN,NaN,NaN
2024-08-05T19:28:30Z,NaN,NaN,NaN,NaN
2024-08-05T19:28:38Z,255.834,NaN,NaN,NaN
2024-08-05T19:28:42Z,NaN,NaN,0.592275,NaN
2024-08-05T19:28:50Z,NaN,NaN,NaN,NaN
2024-08-05T19:28:54Z,NaN,NaN,NaN,NaN
2024-08-05T19:29:02Z,NaN,NaN,NaN,NaN
2024-08-05T19:29:26Z,NaN,NaN,NaN,NaN
2024-08-05T19:29:30Z,NaN,NaN,0.27222,NaN
2024-08-05T19:29:34Z,NaN,NaN,NaN,NaN
2024-08-05T19:29:42Z,NaN,-0.366519,NaN,NaN
2024-08-05T19:29:50Z,NaN,NaN,NaN,NaN
2024-08-05T19:29:58Z,NaN,NaN,NaN,NaN
2024-08-05T19:30:02Z,NaN,NaN,NaN,NaN
2024-08-05T19:30:06Z,NaN,NaN,NaN,1024.5745
2024-08-05T19:30:18Z,NaN,NaN,1.13034,NaN
2024-08-05T19:30:22Z,NaN,-0.434587,NaN,NaN
2024-08-05T19:30:26Z,NaN,NaN,NaN,NaN
2024-08-05T19:30:38Z,NaN,NaN,NaN,NaN
2024-08-05T19:30:42Z,NaN,NaN,NaN,NaN
2024-08-05T19:30:46Z,NaN,NaN,NaN,1024.6068
2024-08-05T19:31:02Z,NaN,-0.466003,NaN,NaN
2024-08-05T19:31:06Z,NaN,NaN,1.81683,1024.6251
2024-08-05T19:31:26Z,NaN,NaN,NaN,NaN
2024-08-05T19:31:30Z,NaN,NaN,NaN,NaN
